,Unnamed: 0,start_time,end_time,start_area_id,end_area_id,start_lng,start_lat,end_lng,end_lat,start_road_id,end_road_id
9,9,10:27.8,16:33.1,61,225,-73.94142771,40.67890679,-73.939877,40.6933982,190229,143459
30,30,28:05.3,32:32.6,100,48,-73.99138152,40.75466591,-73.9851615,40.76370739,143143,191708
34,34,31:45.8,56:49.3,233,233,-73.97032517,40.75323098,-73.97032517,40.75323098,191719,191719
39,39,34:28.9,36:50.5,7,193,-73.9362726,40.7601853,-73.9364848,40.7638753,183194,145318
46,46,37:07.6,49:33.7,193,7,-73.9364848,40.7638753,-73.9362726,40.7601853,145318,183194
50,50,41:52.4,29:31.0,179,179,-73.934171,40.770845,-73.934171,40.770845,144663,144663
60,60,49:33.4,41:28.9,141,141,-73.96094022,40.7612274,-73.96094022,40.7612274,191717,191717
61,61,51:30.0,26:53.3,141,141,-73.96094022,40.7612274,-73.96094022,40.7612274,191717,191717
62,62,51:46.8,56:25.9,80,80,-73.944507,40.715143,-73.93948,40.71882,166725,166725
64,64,59:09.8,03:54.7,45,148,-73.99293911,40.71406667,-73.99266288,40.71893904,191558,191655
73,73,07:27.1,12:13.6,75,75,-73.9432083,40.79329668,-73.95033068,40.7904828,190660,190660
