,name,link_id,osm_way_id,from_node_id,to_node_id,length,lanes,free_speed,link_type_name,link_type,geometry,allowed_uses,from_biway,is_link,lat,lng
2,North Cannon Drive,2,4309527,2,3,151.99,2,60,secondary,4,"LINESTRING (-87.6371345 41.9311325, -87.6373735 41.9313975, -87.6375390 41.9315586, -87.6377872 41.9317347, -87.6382678 41.9320412, -87.6383915 41.9321159)",auto,1,0,41.9311325,-87.6371345
3,North Cannon Drive,3,4309527,3,2,151.99,2,60,secondary,4,"LINESTRING (-87.6383915 41.9321159, -87.6382678 41.9320412, -87.6377872 41.9317347, -87.6375390 41.9315586, -87.6373735 41.9313975, -87.6371345 41.9311325)",auto,1,0,41.9321159,-87.6383915
4,North Lakeview Avenue,4,4309528,4,5,72.8,2,40,tertiary,5,"LINESTRING (-87.6393438 41.9320218, -87.6393040 41.9321344, -87.6392904 41.9326735)",auto,0,0,41.9320218,-87.6393438
6,West Deming Place,6,4309529,7,8,122.66,1,30,residential,6,"LINESTRING (-87.6392722 41.9296848, -87.6393728 41.9296524, -87.6406316 41.9292488)",auto,1,0,41.9296848,-87.6392722
7,West Deming Place,7,4309529,8,7,122.66,1,30,residential,6,"LINESTRING (-87.6406316 41.9292488, -87.6393728 41.9296524, -87.6392722 41.9296848)",auto,1,0,41.9292488,-87.6406316
8,West Deming Place,8,4309529,8,9,152.75,1,30,residential,6,"LINESTRING (-87.6406316 41.9292488, -87.6407491 41.9292097, -87.6422197 41.9287205, -87.6423145 41.9286890)",auto,1,0,41.9292488,-87.6406316
9,West Deming Place,9,4309529,9,8,152.75,1,30,residential,6,"LINESTRING (-87.6423145 41.9286890, -87.6422197 41.9287205, -87.6407491 41.9292097, -87.6406316 41.9292488)",auto,1,0,41.928689,-87.6423145
10,West Grand Avenue,10,4309531,10,11,152.47,2,60,secondary,4,"LINESTRING (-87.8007511 41.9235588, -87.7998592 41.9235653, -87.7996001 41.9235673, -87.7989124 41.9235723)",auto,1,0,41.9235588,-87.8007511
11,West Grand Avenue,11,4309531,11,10,152.47,2,60,secondary,4,"LINESTRING (-87.7989124 41.9235723, -87.7996001 41.9235673, -87.7998592 41.9235653, -87.8007511 41.9235588)",auto,1,0,41.9235723,-87.7989124
12,West Grand Avenue,12,4309531,11,12,101.4,2,60,secondary,4,"LINESTRING (-87.7989124 41.9235723, -87.7976895 41.9235813)",auto,1,0,41.9235723,-87.7989124
