name,link_id,osm_way_id,from_node_id,to_node_id,dir_flag,length,lanes,free_speed,link_type_name,link_type,geometry,allowed_uses,from_biway,is_link,lng,lat
,191754,1051784925;1051784928,78444,77516,1,43.66,3,80,primary,3,"LINESTRING (-73.7461435 40.7647311, -73.7459859 40.7647422, -73.7458422 40.7647380, -73.7457377 40.7647194, -73.7456298 40.7647171)",auto,0,1,-73.7461435,40.7647311
East 219th Street,191753,1051743959;1051743960,79296,66689,1,136.64,1,30,residential,6,"LINESTRING (-73.8642530 40.8840290, -73.8629629 40.8836106, -73.8627616 40.8835453)",auto,0,0,-73.864253,40.884029
Park Place,191752,771950349;820212554;1050922389;1050922388,74034,77455,1,295.51,1,30,residential,6,"LINESTRING (-73.9600740 40.6748780, -73.9591793 40.6746903, -73.9579653 40.6744360, -73.9578078 40.6744030, -73.9577312 40.6743869, -73.9573271 40.6743020, -73.9567030 40.6741710)",auto,0,0,-73.960074,40.674878
Queens Boulevard,191751,1050239163;1050239162,59378,47598,1,137.43,3,40,tertiary,5,"LINESTRING (-73.8720874 40.7337710, -73.8714355 40.7335683, -73.8710103 40.7334467, -73.8707385 40.7333690, -73.8705707 40.7333223)",auto,0,0,-73.8720874,40.733771
Kings Highway,191750,1050129004;1050129003,77932,61146,1,92.6,2,40,tertiary,5,"LINESTRING (-73.9230099 40.6516511, -73.9227800 40.6522300, -73.9226928 40.6524496)",auto,0,0,-73.9230099,40.6516511
Ocean Parkway,191748,1029579314;1041856434;1041856435,53809,71015,1,139.8,1,30,residential,6,"LINESTRING (-73.9666469 40.5833289, -73.9665303 40.5838231, -73.9664383 40.5842131, -73.9663545 40.5845685)",auto,0,0,-73.9666469,40.5833289
Ocean Parkway,191747,514667906;1041856433;1041856432,53788,71016,1,130.03,1,30,residential,6,"LINESTRING (-73.9669222 40.5845612, -73.9669370 40.5844975, -73.9670073 40.5841938, -73.9670998 40.5837937, -73.9671695 40.5834925, -73.9671877 40.5834074)",auto,0,0,-73.9669222,40.5845612
Eckford Street,191746,1041028176;1041028177,77102,2485,1,115.32,1,40,residential,6,"LINESTRING (-73.9477940 40.7203470, -73.9478810 40.7209187, -73.9479402 40.7213083, -73.9479510 40.7213790)",auto,0,0,-73.947794,40.720347
Belt Parkway,191745,46905909;226933466;226933475;1040880810;1040880808,2397,2410,1,925.39,3,120,motorway,1,"LINESTRING (-73.9972031 40.5942707, -73.9967659 40.5939623, -73.9963735 40.5936355, -73.9960086 40.5933232, -73.9956368 40.5929886, -73.9952788 40.5926331, -73.9949586 40.5923128, -73.9946161 40.5919508, -73.9942960 40.5916005, -73.9939965 40.5912476, -73.9937211 40.5908934, -73.9934784 40.5905510, -73.9932736 40.5902438, -73.9930928 40.5899576, -73.9930606 40.5898931, -73.9929173 40.5896295, -73.9923906 40.5885211, -73.9921840 40.5881002, -73.9918990 40.5876070, -73.9918573 40.5875349, -73.9916591 40.5871918)",auto,0,0,-73.9972031,40.5942707
Belt Parkway,191744,957836097;1040880807;1040880809;46905935;46905933,2409,53832,1,1074.86,3,120,motorway,1,"LINESTRING (-73.9898776 40.5856520, -73.9904542 40.5860859, -73.9907348 40.5863369, -73.9909947 40.5866088, -73.9912202 40.5868728, -73.9914387 40.5871617, -73.9916350 40.5874506, -73.9917253 40.5876016, -73.9917671 40.5876714, -73.9918226 40.5877643, -73.9920377 40.5881525, -73.9922529 40.5885642, -73.9927675 40.5896308, -73.9927995 40.5896911, -73.9929465 40.5899733, -73.9931617 40.5903262, -73.9933493 40.5906085, -73.9936230 40.5910032, -73.9939138 40.5913718, -73.9942082 40.5917168, -73.9945352 40.5920724, -73.9948794 40.5924383, -73.9952340 40.5927768, -73.9955800 40.5931114, -73.9959242 40.5934290, -73.9962736 40.5937349, -73.9964132 40.5938488)",auto,0,0,-73.9898776,40.585652
