,node_id,osm_node_id,osm_highway,lat,lng,borough_id,area_id
0,87,595703322,crossing,-73.9645609,40.7916175,1,43
1,784,7925258564,crossing,-73.9319497,40.8004983,1,74
2,954,42439653,crossing,-73.9398011,40.8299196,1,116
3,1293,5173594703,crossing,-73.9848249,40.7176795,1,232
4,1454,42448828,crossing,-73.9517345,40.7603624,1,202
5,1633,2300353444,crossing,-73.9544042,40.755688,1,202
6,2110,3247295579,crossing,-73.958402,40.8007563,1,41
7,2200,3584752195,crossing,-73.9965063,40.7295311,1,113
8,2310,4335349960,crossing,-73.8774899,40.6438905,3,222
9,2311,4677482992,crossing,-73.8772108,40.6435701,3,222
